"This worksheet includes one table, with columns A through AV. Blank cells within the table indicate that there is no data for that element.  The table includes data, organized by School, such as county, district, and school codes and names. The table also includes basic information about the school such as address, grade levels, and contacts."
New Jersey School Directory
Public Schools
County Code,County Name,District Code,District Name,School Code,School Name,Princ. Title,Princ. First Name,Princ. Last Name,Princ. Title 2,Princ. Email,Address1,Address2,City,State,Zip,Mailing Address1,Mailing Address2,Mailing City,Mailing State,Mailing Zip,HIB Title1,HIB First Nname,HIB Last Name,HIB Title2,Homeless Liaison Title1,Homeless Liaison First Name,Homeless Liaison Last Name,Homeless Liaison Title2,Phone,Pre-K,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Post Grad,Adult Ed.,NCES Code
"=""01""",ATLANTIC,"=""0010""",Absecon Public Schools District,"=""050""",Emma C Attales,Mr.,Kevin,Burns,School Principal,kburns@abseconschools.org,800 IRELAN AVENUE," ",ABSECON,NJ,"=""08201""",800 IRELAN AVENUE," ",ABSECON,NJ,"=""08201""",Mrs.,Jessica,Carver,Anti-Bullying Specialist,Mrs.,Kathleen,Guenther,School Homeless Liaison,"=""609-641-5375""",,,,,,,1,1,1,1,,,,,,,"=""00004"""
"=""01""",ATLANTIC,"=""0010""",Absecon Public Schools District,"=""060""",H Ashton Marsh,Ms.,Leslie,Schiavo,School Principal,lschiavo@abseconschools.org,800 IRELAN AVE," ",ABSECON,NJ,"=""08201""",800 IRELAN AVE," ",ABSECON,NJ,"=""08201""",Mrs.,Mary,Alvarado,Anti-Bullying Specialist,Mrs.,Kathleen,Guenther,School Homeless Liaison,"=""609-641-5375""",1,1,1,1,1,1,,,,,,,,,,,"=""00006"""
"=""01""",ATLANTIC,"=""0110""",Atlantic City School District,"=""010""",Atlantic City High School,Mrs.,Constance,Days -Chapman,School Principal,cdays@acboe.org,1400 N Albany Avenue," ",Atlantic City,NJ,"=""08401-6153""",1400 N Albany Avenue," ",Atlantic City,NJ,"=""08401-6153""",Mrs.,Kelly,Bird,Anti-Bullying Specialist,,,,,"=""609-343-7300""",,,,,,,,,,,1,1,1,1,,,"=""00010"""
"=""01""",ATLANTIC,"=""0110""",Atlantic City School District,"=""300""",Brighton Avenue School,Mr.,Jason,Grimes,School Principal,jgrimes@acboe.org,30 N. Brighton Avenue," ",Atlantic City,NJ,"=""08401""",30 N. Brighton Avenue," ",Atlantic City,NJ,"=""08401""",Ms.,Kathy,Lewis,Anti-Bullying Specialist,,,,,"=""609-343-3150""",1,1,1,1,1,1,1,,,,,,,,,,"="""""
"=""01""",ATLANTIC,"=""0110""",Atlantic City School District,"=""050""",Chelsea Heights School,Mr.,James,Knox,School Principal,jknox@acboe.org,4101  Filbert Avenue," ",Atlantic City,NJ,"=""08401-1023""",4101  Filbert Avenue," ",Atlantic City,NJ,"=""08401-1023""",Ms.,Elizbeth,Pedicone,Anti-Bullying Specialist,,,,,"=""609-343-7272""",1,1,1,1,1,1,1,1,1,1,,,,,,,"=""00016"""
"=""01""",ATLANTIC,"=""0110""",Atlantic City School District,"=""140""",Dr Martin Luther King Jr School Complex,Mrs.,Jodi,Burroughs,School Principal,jburroughs@acboe.org,1700 Marmora Avenue," ",Atlantic City,NJ,"=""08401""",1700 Marmora Avenue," ",Atlantic City,NJ,"=""08401""",Ms.,Jennifer,Hagel,Anti-Bullying Specialist,,,,,"=""609-343-7380""",1,1,1,1,1,1,1,1,1,1,,,,,,,"=""00032"""
"=""01""",ATLANTIC,"=""0110""",Atlantic City School District,"=""070""",New York Avenue School,Mr.,Kendall,Williams,School Principal,kwilliams@acboe.org,411 N New York Avenue," ",Atlantic City,NJ,"=""08401""",411 N New York Avenue," ",Atlantic City,NJ,"=""08401""",Ms.,Khadijia,Barnes,Anti-Bullying Specialist,,,,,"=""609-343-7280""",1,1,1,1,1,1,1,1,1,1,,,,,,,"=""00020"""
"=""01""",ATLANTIC,"=""0110""",Atlantic City School District,"=""100""",Pennsylvania Ave School,Mr.,Thomas,Biggins,School Principal,tbiggins@acboe.org,201 N. Pennsylvania Avenue," ",Atlantic City,NJ,"=""08401-5235""",201 N. Pennsylvania Avenue," ",Atlantic City,NJ,"=""08401-5235""",Ms.,Indra,Ownes,Anti-Bullying Specialist,,,,,"=""609-343-7290""",1,1,1,1,1,1,1,1,1,1,,,,,,,"=""00026"""
"=""01""",ATLANTIC,"=""0110""",Atlantic City School District,"=""120""",Richmond Avenue School,Ms.,Shontai,Nicholson,School Principal,snicholson@acboe.org,4115 Ventnor Avenue," ",Atlantic City,NJ,"=""08401-5860""",4115 Ventnor Avenue," ",Atlantic City,NJ,"=""08401-5860""",Mr.,Ryan,Mulholland,Anti-Bullying Specialist,,,,,"=""609-343-7250""",1,1,1,1,1,1,1,1,1,1,,,,,,,"=""00028"""
"=""01""",ATLANTIC,"=""0110""",Atlantic City School District,"=""030""",Sovereign Avenue School,Ms.,Nicole,Williams,School Principal,nwilliams@acboe.org,111 N. Sovereign Avenue," ",Atlantic City,NJ,"=""08401-3711""",111 N. Sovereign Avenue," ",Atlantic City,NJ,"=""08401-3711""",Mrs.,Myriam,Cifuentes,Anti-Bullying Specialist,,,,,"=""609-343-7260""",1,1,1,1,1,1,1,1,1,1,,,,,,,"=""00012"""
"=""01""",ATLANTIC,"=""0110""",Atlantic City School District,"=""060""",Texas Avenue School,Ms.,Lina,Gil,School Principal,lgil@acboe.org,2523 Arctic Avenue," ",Atlantic City,NJ,"=""08401-3901""",2523 Arctic Avenue," ",Atlantic City,NJ,"=""08401-3901""",Ms.,Alyssa,Acree,Anti-Bullying Specialist,,,,,"=""609-343-7350""",,1,1,1,1,1,1,1,1,1,,,,,,,"=""00018"""
"=""01""",ATLANTIC,"=""0110""",Atlantic City School District,"=""080""",Uptown School Complex,Dr.,Ananda,Davis-Wright,School Principal,adavis@acboe.org,323 Madison Avenue," ",Atlantic City,NJ,"=""08401-5417""",323 Madison Avenue," ",Atlantic City,NJ,"=""08401-5417""",Ms.,Monyah,McQueen-Brown,Anti-Bullying Specialist,,,,,"=""609-344-8809""",1,1,1,1,1,1,1,1,1,1,,,,,,,"=""00022"""
